id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
103449,frostbites-all-ages-version,Frostbites (All Ages Version),,2017-11-02,False,2019-01-09T12:41:06,,0.0,0,0,0,0,121,0,0,PC||macOS||Linux,Kari Avalon,,,,0,0,0,0,0,0
10345,lieat,LiEat,,2016-02-25,False,2019-09-17T06:02:12,http://playism-games.com/game/271/lieat-trilogy,2.84,4,3,30,19,179,0,19,PC,△○□×,RPG||Indie,AGM PLAYISM,,49,376,8,2,10,2
103450,grim-legions,Grim Legions,,2016-09-30,False,2019-01-09T12:41:06,,0.0,0,0,0,0,95,0,0,PC||macOS||Linux,ZeeFin Games,Strategy,,,0,0,0,0,0,0
103451,tusan-homichi-tuvota,Tusan Homichi Tuvota,,2017-09-03,False,2019-01-09T12:41:06,,0.0,0,0,0,0,66,0,0,Web,supiket,,,,0,0,0,0,0,0
103452,the-6-digit-computer,The 6-digit computer,,2018-07-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,77,0,0,PC,NNNIKKI,Puzzle,,,0,0,0,0,0,0
103453,serenity-vr,Serenity VR,,2018-04-18,False,2019-01-09T12:41:06,,0.0,0,0,0,0,195,0,0,PC,Kaveh Tabar,Simulation,,,0,0,0,0,0,0
103454,horrifying-horror,Horrifying Horror,,2014-12-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,178,0,0,PC,Evilrakion,Shooter,,,0,0,0,0,0,0
103455,white-world-vr-wizard-survival,White World VR Wizard Survival,,2018-02-02,False,2019-01-09T12:41:06,,0.0,0,0,0,0,144,0,0,PC,WeirdWizardDave,,,,0,0,0,0,0,0
103457,i-have-been-there-twice,I Have Been There Twice,,2016-11-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,74,0,0,PC||macOS||Linux,umbrella-isle,,,,0,0,0,0,0,0
103458,dan-mexica-infinite,Dan-mexica Infinite,,2018-07-06,False,2019-01-09T12:41:06,,0.0,0,0,0,0,49,0,0,PC||Web,Captain Dreamcast,Fighting,,,0,0,0,0,0,0
103459,from-seed-to-snow,From Seed To Snow,,2015-12-15,False,2019-01-09T12:41:06,,0.0,0,0,0,0,74,0,0,PC||Web,kitfoxgames,Simulation,,,0,0,0,0,0,0
10346,fistful-of-frags,Fistful of Frags,,2014-05-09,False,2019-09-17T03:53:11,http://www.fistful-of-frags.com,3.22,4,2,17,165,508,0,167,Linux||PC||macOS,Fistful of Frags Team,Action||Indie,Fistful of Frags Team,,37,1289,27,2,89,9
103460,battery-powered-drift,Battery Powered Drift!,,2015-03-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,36,0,0,Web,Sylverstone Khandr + Sylver's Edge,Sports||Racing,,,0,0,0,0,0,0
103461,ellapse,Ellapse,,2015-10-31,False,2019-01-09T12:41:06,,0.0,0,0,0,0,136,0,0,PC||macOS,HelixAbyss,Adventure,,,0,0,0,0,0,0
103462,10-gnomes-in-bologna,10 Gnomes in Bologna,,2017-02-14,False,2019-01-09T12:41:06,,0.0,0,0,0,0,70,0,0,PC||macOS||Linux,Mateusz Skutnik,Puzzle,,,0,0,0,0,0,0
103463,lava-runner-itch,Lava Runner (itch),,2018-08-21,False,2019-01-09T12:41:06,,0.0,0,0,0,0,126,0,0,PC,blunt_action,Action||Platformer,,,0,0,0,0,0,0
103464,midnight-rendezvous,Midnight Rendezvous,,2015-12-20,False,2019-01-09T12:41:06,,0.0,0,0,0,0,56,0,0,PC||macOS||Linux,Maibbit||squarebridges||erbridge,Puzzle,,,0,0,0,0,0,0
103465,roguest-demo,Roguest Demo,,2016-03-08,False,2019-01-09T12:41:06,,0.0,0,0,0,0,72,0,0,PC,ClipartDev,Adventure,,,0,0,0,0,0,0
